id_arquivo;gt;tess_12;tess_7;OCR
82092117.png;TO:;TO: ;TO: ;TO:
82092117.png;DATE:;DA’ ;DATE: ;DATE:
82092117.png;3; ;3 ;3
82092117.png;Fax:;Fax: ;Fax: ;Fax:
82092117.png;NOTE:; ;NOTE: ;NOTE:
82092117.png;82092117;82099117 ; ;82099117
82092117.png;614 -466 -5087;614-466-5087 ;614-466-5087 ;614-466-5087
82092117.png;Dec 10 '98 17 :46 P. 01;"Dec 10 ""98. 17:46 P.O1 ";Dec 10 '98 17:46 P01 ;"Dec 10 ""98. 17:46 P.O1"
82092117.png;ATT. GEN. ADMIN. OFFICE;ATT. GEN. ADMIN. OFFICE ;ATT. GEN. ADMIN. OFFICE ;ATT. GEN. ADMIN. OFFICE
82092117.png;Attorney General Betty D. Montgomery;Attorney General Betty D. Montgomery ;ae en omery ;Attorney General Betty D. Montgomery
82092117.png;CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET;CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET ;CONFIDENTIAL FACSIMILE ;CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET
82092117.png;(614) 466- 5087;(614) 466-5087 ;(614) 466-5087 ;(614) 466-5087
82092117.png;FAX NO.;FAX NO. ;FAX NO. ;FAX NO.
82092117.png;George Baroody; ;George Baroody ;George Baroody
82092117.png;(336) 335- 7392;336) ;(336) 335-7392 ;(336) 335-7392
82092117.png;FAX NUMBER:;FAX NUMBER: ;FAX NUMBER: ;FAX NUMBER:
82092117.png;PHONE NUMBER:;PHONE NUMBER: ;PHONE NUMBER: ;PHONE NUMBER:
82092117.png;(336) 335- 7363; ;(336) 335-7363, ;(336) 335-7363,
82092117.png;NUMBER OF PAGES INCLUDING COVER SHEET:;NUMBER OF PAGES INCLUDING COVER SHEET: ;NUMBER OF PAGES INCLUDING COVER SHEET: ;NUMBER OF PAGES INCLUDING COVER SHEET:
82092117.png;June Flynn for Eric Brown/ (614) 466- 8980; ;June Flynn for Eric Brown/(614) 466-8980 ;June Flynn for Eric Brown/(614) 466-8980
82092117.png;SENDER /PHONE NUMBER:;'SENDER/PHONE NUMBER: ;SENDER/PHONE NUMBER: ;'SENDER/PHONE NUMBER:
82092117.png;SPECIAL INSTRUCTIONS:;SPECIAL INSTRUCTIONS ;SPECIAL INSTRUCTIONS: ;SPECIAL INSTRUCTIONS:
82092117.png;IF YOU DO NOT RECEIVE ANY OF THE PAGES PROPERLY, PLEASE CONTACT SENDER AS SOON AS POSSIBLE;iF YOU OF OP ELEASE CONTACT SENDER AS LE ;iF YOU aa OF : a OP ;iF YOU OF OP ELEASE CONTACT SENDER AS LE
82092117.png;THIS MESSAGE IS INTENDED ONLY FOR THE USE OF THE INDIVIDUAL OR ENTITY TO WHOM IT IS ADDRESSED AND MAY CONTAIN INFORMATION THAT IS PRIVILEGED. CONFIDENTIAL, AND EXEMPT FROM DISCLOSURE UNDER APPLICABLE LAW. If the reader of this message is not the intended recipient of the employee or agent responsible for delivering the message to the intended recipient, you are hereby notified that any dissemination, distribution, copying, or conveying of this communication in any manner is strictly prohibited. If you have received this comunication in error, please notify us immediately by telephone and return the original message to us at the address below via the U. S. Postal Service. Thank you for your cooperation.;"THIS MESSAGE IS INTENDED ONLY FOR THE USE OF THE INDIVIDUAL OR ENTITY TO WHOM IT IS ADDRESSED AND MAY CONTAIN INFORMATION THAT IS PRIVILEGED, CONFIDENTIAL, AND EXEMPT FROM DISCLOSURE UNDER APPLICABLE LAW. If the reader of this message isnot the intended recipient or the employee or agent responsible for delivering the message to the intended reciplen, you are hereby ootfied that any dissemination, dstiburion, copying, or conveying of this communication in aay manner Is swicly prohibited. ""If yout have received this communication ia eror, please notily us immediately by telephone end reaira the original message to us at the adéress below via the U.S. Postal Service, Thank you. for your coopéfation: ";= = eeree == ;"THIS MESSAGE IS INTENDED ONLY FOR THE USE OF THE INDIVIDUAL OR ENTITY TO WHOM IT IS ADDRESSED AND MAY CONTAIN INFORMATION THAT IS PRIVILEGED, CONFIDENTIAL, AND EXEMPT FROM DISCLOSURE UNDER APPLICABLE LAW. If the reader of this message isnot the intended recipient or the employee or agent responsible for delivering the message to the intended reciplen, you are hereby ootfied that any dissemination, dstiburion, copying, or conveying of this communication in aay manner Is swicly prohibited. ""If yout have received this communication ia eror, please notily us immediately by telephone end reaira the original message to us at the adéress below via the U.S. Postal Service, Thank you. for your coopéfation:"
